央视频道2025/01/23 18:27更新,#genre#
CCTV2,http://60.4.229.40:808/hls/2/index.m3u8
CCTV2,http://114.104.171.233:20080/hls/2/index.m3u8
CCTV3,http://114.104.171.233:20080/hls/3/index.m3u8
CCTV3,http://60.220.147.12:808/hls/3/index.m3u8
CCTV3,http://60.4.229.40:808/hls/3/index.m3u8
CCTV3,http://120.7.85.139:8088/hls/3/index.m3u8
CCTV4,http://60.220.147.12:808/hls/4/index.m3u8
CCTV4,http://114.104.171.233:20080/hls/4/index.m3u8
CCTV4,http://221.0.78.26:881/hls/50204/index.m3u8
CCTV4,http://60.4.229.40:808/hls/4/index.m3u8
CCTV5,http://60.220.147.12:808/hls/5/index.m3u8
CCTV5,http://120.7.85.139:8088/hls/5/index.m3u8
CCTV5,http://221.0.78.26:881/hls/50205/index.m3u8
CCTV5+,http://60.220.147.12:808/hls/55/index.m3u8
CCTV5+,http://114.104.171.233:20080/hls/6/index.m3u8
CCTV5+,http://120.7.85.139:8088/hls/17/index.m3u8
CCTV6,http://60.4.229.40:808/hls/6/index.m3u8
CCTV6,http://114.104.171.233:20080/hls/7/index.m3u8
CCTV6,http://221.0.78.26:881/hls/50206/index.m3u8
CCTV6,http://60.220.147.12:808/hls/6/index.m3u8
CCTV7,http://114.104.171.233:20080/hls/8/index.m3u8
CCTV7,http://221.0.78.26:881/hls/50207/index.m3u8
CCTV7,http://60.4.229.40:808/hls/7/index.m3u8
CCTV7,http://60.220.147.12:808/hls/7/index.m3u8
CCTV8,http://114.104.171.233:20080/hls/9/index.m3u8
CCTV8,http://120.7.85.139:8088/hls/8/index.m3u8
CCTV8,http://60.220.147.12:808/hls/8/index.m3u8
CCTV10,http://60.220.147.12:808/hls/10/index.m3u8
CCTV10,http://60.4.229.40:808/hls/10/index.m3u8
CCTV12,http://114.104.171.233:20080/hls/12/index.m3u8
CCTV12,http://221.0.78.26:881/hls/50212/index.m3u8
CCTV12,http://60.220.147.12:808/hls/12/index.m3u8
CCTV13,http://60.220.147.12:808/hls/13/index.m3u8
CCTV13,http://221.0.78.26:881/hls/50213/index.m3u8
CCTV13,http://114.104.171.233:20080/hls/50/index.m3u8
CCTV13,http://60.4.229.40:808/hls/13/index.m3u8
CCTV14,http://114.104.171.233:20080/hls/13/index.m3u8
CCTV14,http://60.4.229.40:808/hls/14/index.m3u8
CCTV15,http://221.0.78.26:881/hls/50215/index.m3u8
CCTV15,http://114.104.171.233:20080/hls/51/index.m3u8
CCTV15,http://120.7.85.139:8088/hls/15/index.m3u8
CCTV15,http://60.220.147.12:808/hls/15/index.m3u8
风云剧场,http://120.7.85.139:8088/hls/107/index.m3u8

卫视频道,#genre#
东南卫视,http://114.104.171.233:20080/hls/18/index.m3u8
云南卫视,http://114.104.171.233:20080/hls/30/index.m3u8
云南卫视,http://120.7.85.139:8088/hls/47/index.m3u8
兵团卫视,http://221.0.78.26:881/hls/50262/index.m3u8
北京卫视,http://114.104.171.233:20080/hls/19/index.m3u8
北京卫视,http://60.220.147.12:808/hls/27/index.m3u8
北京卫视,http://120.7.85.139:8088/hls/21/index.m3u8
吉林卫视,http://114.104.171.233:20080/hls/34/index.m3u8
四川卫视,http://114.104.171.233:20080/hls/25/index.m3u8
四川卫视,http://221.0.78.26:881/hls/50247/index.m3u8
天津卫视,http://221.0.78.26:881/hls/50237/index.m3u8
天津卫视,http://60.220.147.12:808/hls/44/index.m3u8
天津卫视,http://114.104.171.233:20080/hls/32/index.m3u8
天津卫视,http://120.7.85.139:8088/hls/22/index.m3u8
宁夏卫视,http://221.0.78.26:881/hls/50256/index.m3u8
宁夏卫视,http://60.220.147.12:808/hls/49/index.m3u8
宁夏卫视,http://60.4.229.40:808/hls/41/index.m3u8
安徽卫视,http://114.104.171.233:20080/hls/14/index.m3u8
安徽卫视,http://60.220.147.12:808/hls/25/index.m3u8
山东卫视,http://114.104.171.233:20080/hls/21/index.m3u8
山东卫视,http://60.220.147.12:808/hls/39/index.m3u8
山东卫视,http://221.0.78.26:881/hls/50217/index.m3u8
山西卫视,http://114.104.171.233:20080/hls/36/index.m3u8
山西卫视,http://221.0.78.26:881/hls/50253/index.m3u8
广东卫视,http://114.104.171.233:20080/hls/22/index.m3u8
广东卫视,http://221.0.78.26:881/hls/50238/index.m3u8
广东卫视,http://60.220.147.12:808/hls/33/index.m3u8
广东卫视,http://60.4.229.40:808/hls/25/index.m3u8
广西卫视,http://221.0.78.26:881/hls/50251/index.m3u8
广西卫视,http://60.220.147.12:808/hls/34/index.m3u8
广西卫视,http://114.104.171.233:20080/hls/24/index.m3u8
广西卫视,http://60.4.229.40:808/hls/35/index.m3u8
新疆卫视,http://60.220.147.12:808/hls/52/index.m3u8
新疆卫视,http://221.0.78.26:881/hls/50257/index.m3u8
江苏卫视,http://221.0.78.26:881/hls/50231/index.m3u8
江苏卫视,http://60.220.147.12:808/hls/26/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/20/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/16/index.m3u8
江西卫视,http://60.220.147.12:808/hls/42/index.m3u8
江西卫视,http://114.104.171.233:20080/hls/27/index.m3u8
江西卫视,http://221.0.78.26:881/hls/50250/index.m3u8
河北卫视,http://120.7.85.139:8088/hls/18/index.m3u8
河北卫视,http://114.104.171.233:20080/hls/28/index.m3u8
河北卫视,http://60.220.147.12:808/hls/50/index.m3u8
河南卫视,http://114.104.171.233:20080/hls/23/index.m3u8
浙江卫视,http://114.104.171.233:20080/hls/17/index.m3u8
浙江卫视,http://60.220.147.12:808/hls/24/index.m3u8
海南卫视,http://60.4.229.40:808/hls/45/index.m3u8
海南卫视,http://114.104.171.233:20080/hls/47/index.m3u8
深圳卫视,http://60.4.229.40:808/hls/23/index.m3u8
深圳卫视,http://120.7.85.139:8088/hls/23/index.m3u8
深圳卫视,http://114.104.171.233:20080/hls/38/index.m3u8
湖北卫视,http://114.104.171.233:20080/hls/35/index.m3u8
湖南卫视,http://60.4.229.40:808/hls/19/index.m3u8
甘肃卫视,http://221.0.78.26:881/hls/50258/index.m3u8
西藏卫视,http://114.104.171.233:20080/hls/39/index.m3u8
西藏卫视,http://221.0.78.26:881/hls/50260/index.m3u8
西藏卫视,http://60.4.229.40:808/hls/42/index.m3u8
贵州卫视,http://60.220.147.12:808/hls/31/index.m3u8
贵州卫视,http://114.104.171.233:20080/hls/31/index.m3u8
贵州卫视,http://221.0.78.26:881/hls/50243/index.m3u8
辽宁卫视,http://60.220.147.12:808/hls/23/index.m3u8
辽宁卫视,http://114.104.171.233:20080/hls/33/index.m3u8
辽宁卫视,http://221.0.78.26:881/hls/50240/index.m3u8
重庆卫视,http://60.220.147.12:808/hls/38/index.m3u8
重庆卫视,http://114.104.171.233:20080/hls/26/index.m3u8
重庆卫视,http://120.7.85.139:8088/hls/33/index.m3u8
重庆卫视,http://221.0.78.26:881/hls/50245/index.m3u8
陕西卫视,http://114.104.171.233:20080/hls/29/index.m3u8
陕西卫视,http://60.220.147.12:808/hls/41/index.m3u8
陕西卫视,http://221.0.78.26:881/hls/50254/index.m3u8
青海卫视,http://60.220.147.12:808/hls/46/index.m3u8
青海卫视,http://114.104.171.233:20080/hls/40/index.m3u8
青海卫视,http://221.0.78.26:881/hls/50259/index.m3u8
青海卫视,http://60.4.229.40:808/hls/40/index.m3u8
黑龙江卫视,http://221.0.78.26:881/hls/50241/index.m3u8
黑龙江卫视,http://60.4.229.40:808/hls/27/index.m3u8
黑龙江卫视,http://60.220.147.12:808/hls/36/index.m3u8
黑龙江卫视,http://114.104.171.233:20080/hls/37/index.m3u8
其他频道,#genre#
优漫卡通,http://221.0.78.26:881/hls/50275/index.m3u8
卡通动画,http://221.0.78.26:881/hls/50272/index.m3u8
山东农科,http://221.0.78.26:881/hls/50224/index.m3u8
山东少儿,http://221.0.78.26:881/hls/50225/index.m3u8
山东影视,http://221.0.78.26:881/hls/50219/index.m3u8
山东生活,http://221.0.78.26:881/hls/50220/index.m3u8
河北公共,http://120.7.85.139:8088/hls/62/index.m3u8
河北农民,http://120.7.85.139:8088/hls/63/index.m3u8
河北少儿,http://120.7.85.139:8088/hls/61/index.m3u8
河北都市,http://120.7.85.139:8088/hls/59/index.m3u8
纪实,http://60.4.229.40:808/hls/53/index.m3u8
