1065k  171.213.134.175:4022
1064k  171.213.220.158:4022
1062k  171.213.212.94:4022
1057k  171.213.223.173:4022
1057k  171.213.217.97:4022
1057k  171.213.199.47:4022
1055k  171.213.206.9:4022
1053k  171.213.201.76:4022
1053k  171.213.137.112:4022
1044k  171.213.136.109:4022
996k  171.213.204.68:4022
966k  171.213.133.139:4022
906k  171.213.135.9:4022
751k  171.213.150.114:4022
707k  171.213.147.28:4022
695k  171.213.194.131:4022
623k  171.213.146.211:4022
539k  171.213.222.217:4022
487k  171.213.220.134:4022
471k  171.213.217.186:4022
151k  171.213.196.2:4022
125k  171.213.208.214:4022
