1104k  49.82.105.208:8000
1097k  49.67.12.229:8888
1092k  114.233.64.137:4022
1084k  117.81.150.89:5555
1083k  49.74.205.217:8888
1081k  180.105.209.133:9981
1072k  49.71.31.71:8888
977k  180.105.84.218:4000
957k  180.120.59.241:55555
935k  58.212.139.121:10001
850k  180.102.252.21:8000
818k  180.109.222.11:8888
641k  114.233.189.170:8887
527k  121.226.125.49:7777
312k  121.226.124.164:9999
302k  58.212.239.236:10001
299k  180.111.31.174:8888
233k  121.226.15.92:7777
131k  114.238.130.71:9999
111k  121.226.125.46:7777
