1104k  183.134.148.239:4022
1098k  125.125.181.194:4000
956k  125.118.200.130:8888
955k  183.133.104.226:8899
764k  115.237.61.212:8888
691k  122.231.82.228:55555
555k  183.158.50.9:8000
454k  122.242.208.17:8888
444k  125.104.237.238:4022
422k  183.133.105.151:8899
269k  115.207.173.120:8888
263k  115.207.208.115:8888
259k  60.184.45.124:8889
258k  183.156.252.230:4022
250k  183.133.105.235:8899
224k  115.221.86.65:8888
218k  220.189.154.233:8899
155k  60.184.45.124:8888
100k  125.123.121.81:4022
