1706k  60.223.72.30:8005
1517k  116.135.5.103:8083
1033k  171.116.226.246:8082
983k  60.223.72.249:8001
982k  60.223.72.17:8004
982k  221.205.181.41:8005
982k  118.79.7.143:6001
981k  60.223.72.249:8004
981k  221.205.181.41:8003
980k  60.223.72.30:8004
980k  60.223.72.30:8001
980k  60.223.72.17:8003
980k  221.205.181.41:8001
980k  118.79.7.143:6000
979k  60.223.72.17:8005
979k  60.223.72.17:8002
978k  221.205.181.41:8004
978k  221.205.181.41:8002
978k  183.184.202.47:8082
977k  60.223.72.17:8001
976k  116.135.5.103:8082
965k  60.223.72.249:8003
964k  60.223.72.249:8005
783k  171.116.226.246:8083
608k  61.240.38.128:8085
518k  171.117.143.120:8082
460k  171.117.143.120:8085
434k  171.116.226.246:8084
431k  171.117.143.120:8084
370k  171.117.143.120:8083
285k  61.240.38.128:8082
155k  61.240.38.128:8084
150k  61.240.38.128:8083
123k  171.116.226.246:8085
