1585k  123.123.21.19:5400
1519k  124.65.6.210:20000
1453k  114.250.192.209:8888
1448k  222.130.82.88:4022
1377k  114.243.98.12:8888
1354k  114.252.235.176:8000
1308k  114.243.102.150:8888
1283k  222.129.139.229:8888
1264k  123.118.229.243:9090
1258k  114.252.238.87:8000
1177k  114.243.102.173:8888
1139k  221.220.134.236:9999
1138k  114.254.93.146:2222
956k  221.223.25.147:8012
861k  123.122.160.88:19999
625k  111.196.129.152:20000
551k  114.254.83.83:2222
464k  125.34.52.172:20002
366k  123.119.56.52:4022
262k  111.194.59.89:4022
204k  123.122.163.183:19999
103k  114.254.82.176:2222
