1099k  114.232.146.223:7777
1097k  117.85.24.47:8800
1096k  218.94.98.57:10001
1095k  221.227.216.153:8181
1095k  114.232.146.182:7777
1095k  114.224.11.190:4022
1090k  121.226.107.213:4022
1085k  222.184.192.144:55555
1083k  180.119.195.127:4022
1083k  117.91.232.95:8800
1083k  117.88.225.33:8888
1082k  222.95.92.12:4000
1081k  114.219.62.233:8686
1078k  180.114.26.125:8800
1071k  117.85.24.58:8800
1059k  114.219.117.51:58888
1056k  58.213.250.51:8001
1049k  180.117.137.148:55555
1049k  180.107.144.147:8800
841k  114.224.190.238:4000
412k  121.231.65.29:8095
219k  49.67.188.201:4022
