1228k  183.141.182.204:9999
1162k  122.246.151.102:9999
1135k  122.243.196.157:9999
1097k  123.96.243.32:9999
1073k  220.184.115.124:9999
1031k  115.192.212.253:9999
1025k  183.141.216.199:9999
1021k  115.230.180.181:9999
1019k  115.230.190.78:9999
1018k  183.158.61.155:9999
1015k  115.230.188.128:9999
1002k  115.230.191.3:9999
982k  125.123.120.15:4022
946k  183.158.6.170:4022
943k  125.117.0.247:9999
931k  115.207.33.107:9999
740k  183.136.110.229:9999
453k  183.136.110.170:9999
371k  183.136.110.205:9999
353k  125.126.209.89:9999
112k  183.158.202.160:4022
