湖北电信,#genre#
湖北公共新闻,http://59.172.145.249:4022/rtp/239.69.1.40:9880
湖北经视,http://59.172.145.249:4022/rtp/239.69.1.41:9886
湖北综合,http://59.172.145.249:4022/rtp/239.69.1.42:9892
湖北垄上,http://59.172.145.249:4022/rtp/239.69.1.43:9898
湖北影视,http://59.172.145.249:4022/rtp/239.69.1.204:10866
湖北生活,http://59.172.145.249:4022/rtp/239.69.1.205:10872
湖北教育,http://59.172.145.249:4022/rtp/239.69.1.206:10878
CCTV1,http://59.172.145.249:4022/rtp/239.254.96.96:8550
CCTV2,http://59.172.145.249:4022/rtp/239.69.1.102:10250
CCTV3,http://59.172.145.249:4022/rtp/239.69.1.122:10370
CCTV4,http://59.172.145.249:4022/rtp/239.69.1.138:10466
CCTV5,http://59.172.145.249:4022/rtp/239.69.1.123:10376
CCTV5+,http://59.172.145.249:4022/rtp/239.254.96.234:9484
CCTV6,http://59.172.145.249:4022/rtp/239.69.1.124:10382
CCTV7,http://59.172.145.249:4022/rtp/239.69.1.103:10256
CCTV8,http://59.172.145.249:4022/rtp/239.69.1.125:10388
CCTV9,http://59.172.145.249:4022/rtp/239.69.1.104:10262
CCTV10,http://59.172.145.249:4022/rtp/239.69.1.105:10268
CCTV11,http://59.172.145.249:4022/rtp/239.69.1.154:10560
CCTV12,http://59.172.145.249:4022/rtp/239.69.1.106:10274
CCTV13,http://59.172.145.249:4022/rtp/239.254.96.161:9040
CCTV14,http://59.172.145.249:4022/rtp/239.69.1.107:10280
CCTV15,http://59.172.145.249:4022/rtp/239.69.1.155:10566
CCTV16,http://59.172.145.249:4022/rtp/239.69.1.247:11124
CCTV17,http://59.172.145.249:4022/rtp/239.69.1.152:10548
CCTV5+,http://59.172.145.249:4022/rtp/239.69.1.12:9712
CCTV16-4K,http://59.172.145.249:4022/rtp/239.69.1.13:9718
CCTV第一剧场,http://59.172.145.249:4022/rtp/239.69.1.74:10084
CCTV兵器科技,http://59.172.145.249:4022/rtp/239.69.1.79:10114
CCTV风云足球,http://59.172.145.249:4022/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://59.172.145.249:4022/rtp/239.69.1.83:10138
CCTV世界地理,http://59.172.145.249:4022/rtp/239.69.1.91:10186
CCTV央视台球,http://59.172.145.249:4022/rtp/239.69.1.98:10224
中文国际欧洲,http://59.172.145.249:4022/rtp/239.69.1.231:11028
中文国际美洲,http://59.172.145.249:4022/rtp/239.69.1.232:11034
CCTV16-4K,http://59.172.145.249:4022/rtp/239.69.1.249:11136
湖北卫视,http://59.172.145.249:4022/rtp/239.254.96.115:8664
河北卫视,http://59.172.145.249:4022/rtp/239.254.96.113:9616
深圳卫视,http://59.172.145.249:4022/rtp/239.254.96.137:8896
湖南卫视,http://59.172.145.249:4022/rtp/239.254.96.139:8908
广东卫视,http://59.172.145.249:4022/rtp/239.254.96.140:8914
北京卫视,http://59.172.145.249:4022/rtp/239.254.96.141:8920
东方卫视,http://59.172.145.249:4022/rtp/239.254.96.142:8926
浙江卫视,http://59.172.145.249:4022/rtp/239.254.96.143:8932
河北卫视,http://59.172.145.249:4022/rtp/239.69.1.157:10578
东方卫视,http://59.172.145.249:4022/rtp/239.69.1.173:10674
江苏卫视,http://59.172.145.249:4022/rtp/239.69.1.174:10680
江苏卫视,http://59.172.145.249:4022/rtp/239.254.96.144:8938
天津卫视,http://59.172.145.249:4022/rtp/239.69.1.68:10048
山东卫视,http://59.172.145.249:4022/rtp/239.69.1.69:10054
安徽卫视,http://59.172.145.249:4022/rtp/239.69.1.70:10060
辽宁卫视,http://59.172.145.249:4022/rtp/239.69.1.71:10066
东南卫视,http://59.172.145.249:4022/rtp/239.69.1.108:10286
江西卫视,http://59.172.145.249:4022/rtp/239.69.1.126:10394
重庆卫视,http://59.172.145.249:4022/rtp/239.69.1.149:10530
贵州卫视,http://59.172.145.249:4022/rtp/239.69.1.150:10536
海南卫视,http://59.172.145.249:4022/rtp/239.69.1.151:10542
河南卫视,http://59.172.145.249:4022/rtp/239.69.1.168:10644
四川卫视,http://59.172.145.249:4022/rtp/239.69.1.169:10650
广西卫视,http://59.172.145.249:4022/rtp/239.69.1.191:10788
吉林卫视,http://59.172.145.249:4022/rtp/239.69.1.212:10914
黑龙江卫视,http://59.172.145.249:4022/rtp/239.254.96.138:8902
武汉一台新闻综合,http://59.172.145.249:4022/rtp/239.69.1.145:10506
武汉二台电视剧,http://59.172.145.249:4022/rtp/239.69.1.146:10512
武汉三台科技生活,http://59.172.145.249:4022/rtp/239.69.1.251:11148
武汉四台经济,http://59.172.145.249:4022/rtp/239.69.1.35:9850
武汉五台文体,http://59.172.145.249:4022/rtp/239.69.1.147:10518
武汉六台外语,http://59.172.145.249:4022/rtp/239.69.1.36:9856
武汉教育,http://59.172.145.249:4022/rtp/239.69.1.60:9994
BestTV测试1-4K,http://59.172.145.249:4022/rtp/239.69.1.26:9796
BestTV测试2-4K,http://59.172.145.249:4022/rtp/239.69.1.27:9802
BestTV测试3-4K,http://59.172.145.249:4022/rtp/239.69.1.25:9790
爱上4K,http://59.172.145.249:4022/rtp/239.69.1.141:10482
蔡甸综合,http://59.172.145.249:4022/rtp/239.69.1.245:11112
阳新综合,http://59.172.145.249:4022/rtp/239.69.1.34:9844
房县综合,http://59.172.145.249:4022/rtp/239.69.1.192:10794
CHC-高清电影,http://59.172.145.249:4022/rtp/239.69.1.241:11088
CHC-动作电影,http://59.172.145.249:4022/rtp/239.69.1.242:11094
CHC-家庭影院,http://59.172.145.249:4022/rtp/239.69.1.243:11100
卡酷少儿,http://59.172.145.249:4022/rtp/239.69.1.193:10800
梨园频道,http://59.172.145.249:4022/rtp/239.69.1.33:9838
武术世界,http://59.172.145.249:4022/rtp/239.69.1.47:9922
快乐垂钓,http://59.172.145.249:4022/rtp/239.69.1.142:10488
茶频道,http://59.172.145.249:4022/rtp/239.69.1.144:10500
金鹰卡通,http://59.172.145.249:4022/rtp/239.69.1.248:11130
金鹰纪实,http://59.172.145.249:4022/rtp/239.69.1.109:10292
CETV1,http://59.172.145.249:4022/rtp/239.69.1.110:10298
CGTN记录片,http://59.172.145.249:4022/rtp/239.69.1.233:11040
CGTN西班牙语,http://59.172.145.249:4022/rtp/239.69.1.234:11046
CGTN法语,http://59.172.145.249:4022/rtp/239.69.1.235:11052

湖北公共新闻,http://59.172.86.59:8686/rtp/239.69.1.40:9880
湖北经视,http://59.172.86.59:8686/rtp/239.69.1.41:9886
湖北综合,http://59.172.86.59:8686/rtp/239.69.1.42:9892
湖北垄上,http://59.172.86.59:8686/rtp/239.69.1.43:9898
湖北影视,http://59.172.86.59:8686/rtp/239.69.1.204:10866
湖北生活,http://59.172.86.59:8686/rtp/239.69.1.205:10872
湖北教育,http://59.172.86.59:8686/rtp/239.69.1.206:10878
CCTV1,http://59.172.86.59:8686/rtp/239.254.96.96:8550
CCTV2,http://59.172.86.59:8686/rtp/239.69.1.102:10250
CCTV3,http://59.172.86.59:8686/rtp/239.69.1.122:10370
CCTV4,http://59.172.86.59:8686/rtp/239.69.1.138:10466
CCTV5,http://59.172.86.59:8686/rtp/239.69.1.123:10376
