北京联通,#genre#
北京卫视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.241:8000
BRTV新闻,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.159:8000
BRTV影视,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.158:8000
BRTV文艺,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.242:8000
BRTV财经,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.116:8000
BRTV生活,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.117:8000
BRTV青年,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/# rtp/239.3.1.118:8000
BRTV纪实科教,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.115:8000
BRTV卡酷少儿,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.189:8000
BRTV冬奥纪实,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.243:8000
BRTV冬奥纪实,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.121:8000
BRTV体育休闲,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.243:8000
BTV国际频道,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.235:8000
CCTV-1,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.129:8008
CCTV-2,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.60:8084
CCTV-3,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.172:8001
CCTV-4,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.105:8092
CCTV-5,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.173:8001
CCTV-5+,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.130:8004
CCTV-6,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.174:8001
CCTV-7,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.61:8104
CCTV-8,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.175:8001
CCTV-9,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.62:8112
CCTV-10,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.63:8116
CCTV-11,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.152:8120
CCTV-12,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.64:8124
