四川电信,#genre#
四川卫视,http://171.213.142.83:5555/udp/239.93.0.169:5140
康巴卫视,http://171.213.142.83:5555/udp/239.93.0.41:5140
四川影视文艺,http://171.213.142.83:5555/udp/239.93.0.166:5140
四川经济频道,http://171.213.142.83:5555/udp/239.93.1.101:5140
四川新闻频道,http://171.213.142.83:5555/udp/239.93.0.47:5140
四川乡村频道,http://171.213.142.83:5555/udp/239.93.0.52:5140
四川文化旅游,http://171.213.142.83:5555/udp/239.93.1.102:5140
四川科教频道,http://171.213.142.83:5555/udp/239.93.42.44:5140
四川峨眉电影,http://171.213.142.83:5555/udp/239.93.0.252:5140
四川妇女儿童,http://171.213.142.83:5555/udp/239.93.0.219:5140
凤凰中文,http://171.213.142.83:5555/udp/239.93.0.162:2192
凤凰资讯,http://171.213.142.83:5555/udp/239.93.0.118:2191
成都综合频道,http://171.213.142.83:5555/udp/239.93.0.16:5140
成都经济频道,http://171.213.142.83:5555/udp/239.93.0.17:1239
成都生活频道,http://171.213.142.83:5555/udp/239.93.0.18:1238
成都影视频道,http://171.213.142.83:5555/udp/239.93.0.19:1250
成都公共频道,http://171.213.142.83:5555/udp/239.93.1.231:5140
成都少儿频道,http://171.213.142.83:5555/udp/239.93.0.21:1251
蓉城先锋,http://171.213.142.83:5555/udp/239.93.0.91:2101
CCTV-1综合,http://171.213.142.83:5555/udp/239.93.0.184:5140
CCTV-2财经,http://171.213.142.83:5555/udp/239.93.1.23:6000
CCTV-3综艺,http://171.213.142.83:5555/udp/239.93.1.11:2223
CCTV-4中文国际,http://171.213.142.83:5555/udp/239.93.1.105:5140
CCTV-5体育,http://171.213.142.83:5555/udp/239.93.42.37:5140
CCTV-6电影,http://171.213.142.83:5555/udp/239.93.1.13:2226
CCTV-7国防军事,http://171.213.142.83:5555/udp/239.93.1.67:5140
CCTV-8电视剧,http://171.213.142.83:5555/udp/239.93.42.39:5140
CCTV-9纪录,http://171.213.142.83:5555/udp/239.93.1.24:5140
CCTV-10科教,http://171.213.142.83:5555/udp/239.93.1.28:5140
CCTV-11戏曲,http://171.213.142.83:5555/udp/239.93.0.102:5140
