广东电信,#genre#
广东卫视,http://14.145.234.215:8888/udp/239.77.1.19:5146
广东珠江,http://14.145.234.215:8888/udp/239.77.0.1:5146
广东新闻,http://14.145.234.215:8888/udp/239.77.0.173:5146
广东民生,http://14.145.234.215:8888/udp/239.77.0.225:5146
广东体育,http://14.145.234.215:8888/udp/239.77.0.112:5146
经济科教,http://14.145.234.215:8888/udp/239.77.0.85:5146
大湾区卫视,http://14.145.234.215:8888/udp/239.77.0.215:5146
广东影视,http://14.145.234.215:8888/udp/239.77.0.217:5146
南国都市 4K,http://14.145.234.215:8888/udp/239.253.43.99:5146
广东少儿,http://14.145.234.215:8888/udp/239.77.0.250:5146
嘉佳卡通,http://14.145.234.215:8888/udp/239.77.0.179:5146
广东国际,http://14.145.234.215:8888/udp/239.77.0.7:5146
CCTV-1,http://14.145.234.215:8888/udp/239.77.1.17:5146
CCTV-2,http://14.145.234.215:8888/udp/239.77.1.158:5146
CCTV-3,http://14.145.234.215:8888/udp/239.77.0.169:5146
CCTV-4,http://14.145.234.215:8888/udp/239.77.1.163:5146
CCTV-5,http://14.145.234.215:8888/udp/239.77.0.170:5146
CCTV-5+,http://14.145.234.215:8888/udp/239.77.0.87:5146
CCTV-6,http://14.145.234.215:8888/udp/239.77.0.171:5146
CCTV-7,http://14.145.234.215:8888/udp/239.77.1.159:5146
CCTV-8,http://14.145.234.215:8888/udp/239.77.0.172:5146
CCTV-9,http://14.145.234.215:8888/udp/239.77.1.160:5146
CCTV-10,http://14.145.234.215:8888/udp/239.77.1.113:5146
CCTV-11,http://14.145.234.215:8888/udp/239.77.1.238:5146
CCTV-12,http://14.145.234.215:8888/udp/239.77.1.109:5146
CCTV-13,http://14.145.234.215:8888/udp/239.77.0.188:5146
CCTV-14,http://14.145.234.215:8888/udp/239.77.1.161:5146
CCTV-15,http://14.145.234.215:8888/udp/239.77.1.239:5146
CCTV-16,http://14.145.234.215:8888/udp/239.77.0.165:5146
CCTV-16 4K,http://14.145.234.215:8888/udp/239.77.1.98:5146
CCTV-17,http://14.145.234.215:8888/udp/239.77.1.121:5146
CCTV-4K 4K,http://14.145.234.215:8888/udp/239.77.0.194:5146
CCTV-4K 4K,http://14.145.234.215:8888/udp/239.77.0.174:5146
湖南卫视,http://14.145.234.215:8888/udp/239.77.0.46:5146
