宁夏电信-组播1,#genre#
宁夏卫视,http://106.45.3.127:4000/rtp/239.121.4.94:8538
宁夏公共频道,http://106.45.3.127:4000/rtp/239.121.4.97:8556
宁夏教育频道,http://106.45.3.127:4000/rtp/239.121.4.200:9184
宁夏经济频道,http://106.45.3.127:4000/rtp/239.121.4.91:8520
宁夏少儿频道,http://106.45.3.127:4000/rtp/239.121.4.63:8352
宁夏文旅频道,http://106.45.3.127:4000/rtp/239.121.4.93:8532
银川公共频道,http://106.45.3.127:4000/rtp/239.121.4.21:8100
银川生活频道,http://106.45.3.127:4000/rtp/239.121.4.106:8610
银川文体频道,http://106.45.3.127:4000/rtp/239.121.4.22:8106
CCTV-1综合,http://106.45.3.127:4000/rtp/239.121.4.113:8636
CCTV-2财经,http://106.45.3.127:4000/rtp/239.121.4.155:8914
CCTV-3综艺,http://106.45.3.127:4000/rtp/239.121.4.151:8890
CCTV-4中文国际,http://106.45.3.127:4000/rtp/239.121.4.134:8786
CCTV-5体育,http://106.45.3.127:4000/rtp/239.121.4.152:8896
CCTV-6电影,http://106.45.3.127:4000/rtp/239.121.4.153:8902
CCTV-7国防军事,http://106.45.3.127:4000/rtp/239.121.4.156:8920
CCTV-8电视剧,http://106.45.3.127:4000/rtp/239.121.4.154:8908
CCTV-9纪录,http://106.45.3.127:4000/rtp/239.121.4.157:8926
CCTV-10科教,http://106.45.3.127:4000/rtp/239.121.4.158:8932
CCTV-11戏曲,http://106.45.3.127:4000/rtp/239.121.4.150:9202
CCTV-12社会与法,http://106.45.3.127:4000/rtp/239.121.4.159:8938
CCTV-13新闻,http://106.45.3.127:4000/rtp/239.121.4.13:8028
CCTV-14少儿,http://106.45.3.127:4000/rtp/239.121.4.160:8944
CCTV-15音乐,http://106.45.3.127:4000/rtp/239.121.4.202:9208
CCTV-16奥林匹克,http://106.45.3.127:4000/rtp/239.121.4.122:8008
CCTV-17农业农村,http://106.45.3.127:4000/rtp/239.121.4.61:8340
CCTV-5+体育赛事,http://106.45.3.127:4000/rtp/239.121.4.140:8852
安徽卫视,http://106.45.3.127:4000/rtp/239.121.4.161:8950
北京卫视,http://106.45.3.127:4000/rtp/239.121.4.117:8684
东方卫视,http://106.45.3.127:4000/rtp/239.121.4.109:8636
东南卫视,http://106.45.3.127:4000/rtp/239.121.4.102:9226
河北卫视,http://106.45.3.127:4000/rtp/239.121.4.76:8430
广东卫视,http://106.45.3.127:4000/rtp/239.121.4.118:8690
江苏卫视,http://106.45.3.127:4000/rtp/239.121.4.115:8672
江西卫视,http://106.45.3.127:4000/rtp/239.121.4.111:8648
贵州卫视,http://106.45.3.127:4000/rtp/239.121.4.65:8364
黑龙江卫视,http://106.45.3.127:4000/rtp/239.121.4.120:8702
湖北卫视,http://106.45.3.127:4000/rtp/239.121.4.126:8738
湖南卫视,http://106.45.3.127:4000/rtp/239.121.4.114:8666
浙江卫视,http://106.45.3.127:4000/rtp/239.121.4.116:8678
山东卫视,http://106.45.3.127:4000/rtp/239.121.4.162:8956
深圳卫视,http://106.45.3.127:4000/rtp/239.121.4.119:8696
天津卫视,http://106.45.3.127:4000/rtp/239.121.4.72:8406
重庆卫视,http://106.45.3.127:4000/rtp/239.121.4.36:8190
辽宁卫视,http://106.45.3.127:4000/rtp/239.121.4.163:8962
吉林卫视,http://106.45.3.127:4000/rtp/239.121.4.43:8232
CETV1,http://106.45.3.127:4000/rtp/239.121.4.180:9064
CETV4,http://106.45.3.127:4000/rtp/239.121.4.199:9178
湖南金鹰纪实,http://106.45.3.127:4000/rtp/239.121.4.167:8986
上海欢笑剧场,http://106.45.3.127:4000/rtp/239.121.4.64:8358
上海动漫秀场,http://106.45.3.127:4000/rtp/239.121.4.74:8418
上海纪实人文,http://106.45.3.127:4000/rtp/239.121.4.164:8968
上海东方财经,http://106.45.3.127:4000/rtp/239.121.4.71:8400
中国天气,http://106.45.3.127:4000/rtp/239.121.4.112:8654
CCTV-4 美洲,http://106.45.3.127:4000/rtp/239.121.4.124:8002
CCTV-4 欧洲,http://106.45.3.127:4000/rtp/239.121.4.123:8000
CGTN阿拉伯语,http://106.45.3.127:4000/rtp/239.121.4.207:8026
CGTN俄语,http://106.45.3.127:4000/rtp/239.121.4.208:8030
CGTN法语,http://106.45.3.127:4000/rtp/239.121.4.206:8024
CGTN西班牙语,http://106.45.3.127:4000/rtp/239.121.4.137:8020
CGTN纪录,http://106.45.3.127:4000/rtp/239.121.4.136:8018
CGTN英语,http://106.45.3.127:4000/rtp/239.121.4.125:8014
