山西电信-组播1,#genre#
山西卫视,http://110.178.145.69:8188/udp/239.1.1.1:8001
黄河电视台,http://110.178.145.69:8188/udp/239.1.1.2:8002
山西经济与科技,http://110.178.145.69:8188/udp/239.1.1.3:8003
山西影视,http://110.178.145.69:8188/udp/239.1.1.4:8004
山西社会与法治,http://110.178.145.69:8188/udp/239.1.1.5:8005
山西文体生活,http://110.178.145.69:8188/udp/239.1.1.6:8006
晋中综合频道,http://110.178.145.69:8188/udp/239.1.1.120:8120
晋中公共频道,http://110.178.145.69:8188/udp/239.1.1.121:8121
运城1台,http://110.178.145.69:8188/udp/239.1.1.123:8123
运城2台,http://110.178.145.69:8188/udp/239.1.1.124:8124
盐湖频道,http://110.178.145.69:8188/udp/239.1.1.125:8125
CCTV-1综合,http://110.178.145.69:8188/udp/239.1.1.7:8007
CCTV-2财经,http://110.178.145.69:8188/udp/239.1.1.8:8008
CCTV-3综艺,http://110.178.145.69:8188/udp/239.1.1.9:8009
CCTV-4中文国际,http://110.178.145.69:8188/udp/239.1.1.10:8010
CCTV-5体育,http://110.178.145.69:8188/udp/239.1.1.11:8011
CCTV-6电影,http://110.178.145.69:8188/udp/239.1.1.13:8013
CCTV-7国防军事,http://110.178.145.69:8188/rtp/239.1.1.14:8014
CCTV-8电视剧,http://110.178.145.69:8188/udp/239.1.1.15:8015
CCTV-9纪录,http://110.178.145.69:8188/udp/239.1.1.16:8016
CCTV-10科教,http://110.178.145.69:8188/udp/239.1.1.17:8017
CCTV-11戏曲,http://110.178.145.69:8188/rtp/239.1.1.18:8018
CCTV-12社会与法,http://110.178.145.69:8188/udp/239.1.1.19:8019
CCTV-13新闻,http://110.178.145.69:8188/udp/239.1.1.20:8020
CCTV-14少儿,http://110.178.145.69:8188/udp/239.1.1.21:8021
CCTV-15音乐,http://110.178.145.69:8188/rtp/239.1.1.22:8022
CCTV-16奥林匹克,http://110.178.145.69:8188/udp/239.1.1.122:8122
CCTV-17农业农村,http://110.178.145.69:8188/udp/239.1.1.23:8023
