广东联通-组播1,#genre#
广东卫视,http://58.253.171.233:8188/udp/239.0.1.1:5001
深圳卫视,http://58.253.171.233:8188/udp/239.0.1.84:8020
广东经济科教,http://58.253.171.233:8188/udp/239.0.1.94:5013
广东4K超高清,http://58.253.171.233:8188/udp/239.0.1.169:6030
广东珠江频道,http://58.253.171.233:8188/udp/239.0.1.133:5172
广东体育频道,http://58.253.171.233:8188/udp/239.0.1.95:5057
广东民生频道,http://58.253.171.233:8188/udp/239.0.1.48:5005
广东嘉佳卡通,http://58.253.171.233:8188/udp/239.0.1.56:5007
广东新闻频道,http://58.253.171.233:8188/udp/239.0.1.47:5006
广东大湾区卫视,http://58.253.171.233:8188/udp/239.0.1.52:5009
广东影视频道,http://58.253.171.233:8188/udp/239.0.1.54:5011
广东少儿频道,http://58.253.171.233:8188/udp/239.0.1.55:5012
广东移动频道,http://58.253.171.233:8188/udp/239.0.1.63:5101
广东岭南戏曲,http://58.253.171.233:8188/udp/239.0.1.59:5073
广东现代教育,http://58.253.171.233:8188/udp/239.0.1.61:5103
广东南方购物,http://58.253.171.233:8188/udp/239.0.1.57:5087
河源生活频道,http://58.253.171.233:8188/udp/239.0.1.236:5225
CCTV-1综合,http://58.253.171.233:8188/udp/239.0.1.3:8008
CCTV-2财经,http://58.253.171.233:8188/udp/239.0.1.4:8084
CCTV-3综艺,http://58.253.171.233:8188/udp/239.0.1.177:6037
CCTV-4中文国际,http://58.253.171.233:8188/udp/239.0.1.180:6040
CCTV-5体育,http://58.253.171.233:8188/udp/239.0.1.175:6035
CCTV-5+体育赛事,http://58.253.171.233:8188/udp/239.0.1.101:8004
CCTV-6电影,http://58.253.171.233:8188/udp/239.0.1.176:6036
CCTV-7国防军事,http://58.253.171.233:8188/udp/239.0.1.96:8104
CCTV-8电视剧,http://58.253.171.233:8188/udp/239.0.1.174:6034
CCTV-9纪录,http://58.253.171.233:8188/udp/239.0.1.97:8112
CCTV-10科教,http://58.253.171.233:8188/udp/239.0.1.98:8116
CCTV-11戏曲,http://58.253.171.233:8188/udp/239.0.1.71:5400
CCTV-12社会与法,http://58.253.171.233:8188/udp/239.0.1.99:8124
CCTV-13新闻,http://58.253.171.233:8188/udp/239.0.1.73:8264
CCTV-14少儿,http://58.253.171.233:8188/udp/239.0.1.100:8132
CCTV-15音乐,http://58.253.171.233:8188/udp/239.0.1.75:8052
CCTV-17农业农村,http://58.253.171.233:8188/udp/239.0.1.192:9264
浙江卫视,http://58.253.171.233:8188/udp/239.0.1.79:1234
湖北卫视,http://58.253.171.233:8188/udp/239.0.1.88:1234
湖南卫视,http://58.253.171.233:8188/udp/239.0.1.78:8012
江苏卫视,http://58.253.171.233:8188/udp/239.0.1.80:8028
吉林卫视,http://58.253.171.233:8188/udp/239.0.1.245:5183
江西卫视,http://58.253.171.233:8188/udp/239.0.1.244:5166
河北卫视,http://58.253.171.233:8188/udp/239.0.1.243:8072
东南卫视,http://58.253.171.233:8188/udp/239.0.1.241:5109
东方卫视,http://58.253.171.233:8188/udp/239.0.1.82:8032
北京卫视,http://58.253.171.233:8188/udp/239.0.1.83:8024
四川卫视,http://58.253.171.233:8188/udp/239.0.1.87:5095
天津卫视,http://58.253.171.233:8188/udp/239.0.1.89:1234
安徽卫视,http://58.253.171.233:8188/udp/239.0.1.81:8064
山东卫视,http://58.253.171.233:8188/udp/239.0.1.90:8052
黑龙江卫视,http://58.253.171.233:8188/udp/239.0.1.86:8016
广西卫视,http://58.253.171.233:8188/udp/239.0.1.181:6041
辽宁卫视,http://58.253.171.233:8188/udp/239.0.1.85:8056
重庆卫视,http://58.253.171.233:8188/udp/239.0.1.91:5097
山西卫视,http://58.253.171.233:8188/udp/239.0.1.30:8172
新疆卫视,http://58.253.171.233:8188/udp/239.0.1.36:8160
海南卫视,http://58.253.171.233:8188/udp/239.0.1.33:8304
河南卫视,http://58.253.171.233:8188/udp/239.0.1.22:8128
甘肃卫视,http://58.253.171.233:8188/udp/239.0.1.37:8188
西藏卫视,http://58.253.171.233:8188/udp/239.0.1.35:8164
贵州卫视,http://58.253.171.233:8188/udp/239.0.1.20:8120
陕西卫视,http://58.253.171.233:8188/udp/239.0.1.29:8140
青海卫视,http://58.253.171.233:8188/udp/239.0.1.32:8184
宁夏卫视,http://58.253.171.233:8188/udp/239.0.1.34:8124
厦门卫视,http://58.253.171.233:8188/udp/239.0.1.46:4120
云南卫视,http://58.253.171.233:8188/udp/239.0.1.23:8108
内蒙古卫视,http://58.253.171.233:8188/udp/239.0.1.31:8176
兵团卫视,http://58.253.171.233:8188/udp/239.0.1.38:4120
山东教育卫视,http://58.253.171.233:8188/udp/239.0.1.44:5092
金鹰纪实,http://58.253.171.233:8188/udp/239.0.1.92:5094
金鹰卡通,http://58.253.171.233:8188/udp/239.0.1.41:9252
哈哈炫动,http://58.253.171.233:8188/udp/239.0.1.42:5090
卡酷少儿,http://58.253.171.233:8188/udp/239.0.1.40:9248
CETV1,http://58.253.171.233:8188/udp/239.0.1.240:4120
CETV2,http://58.253.171.233:8188/udp/239.0.1.210:4120
CETV4,http://58.253.171.233:8188/udp/239.0.1.211:4121
GCTN英语,http://58.253.171.233:8188/udp/239.0.1.76:8056
IPTV5体育,http://58.253.171.233:8188/udp/239.0.1.102:4120
