广西电信-组播1,#genre#
广西卫视,http://171.104.106.89:50112/udp/239.81.0.107:4056
广西综艺旅游,http://171.104.106.89:50112/udp/239.81.0.214:4056
广西影视频道,http://171.104.106.89:50112/udp/239.81.0.250:4056
广西新闻频道,http://171.104.106.89:50112/udp/239.81.0.248:4056
广西都市频道,http://171.104.106.89:50112/udp/239.81.0.247:4056
广西国际频道,http://171.104.106.89:50112/udp/239.81.0.8:4056
广西移动电视,http://171.104.106.89:50112/udp/239.81.0.10:4056
南宁新闻综合,http://171.104.106.89:50112/udp/239.81.0.241:4056
CCTV-1综合,http://171.104.106.89:50112/udp/239.81.0.102:4056
CCTV-2财经,http://171.104.106.89:50112/udp/239.81.0.115:4056
CCTV-3综艺,http://171.104.106.89:50112/udp/239.81.0.231:4056
CCTV-4中文国际,http://171.104.106.89:50112/udp/239.81.0.96:4056
CCTV-5体育,http://171.104.106.89:50112/udp/239.81.0.232:4056
CCTV-6电影,http://171.104.106.89:50112/udp/239.81.0.233:4056
CCTV-7国防军事,http://171.104.106.89:50112/udp/239.81.0.116:4056
CCTV-8电视剧,http://171.104.106.89:50112/udp/239.81.0.234:4056
CCTV-9纪录,http://171.104.106.89:50112/udp/239.81.0.117:4056
CCTV-10科教,http://171.104.106.89:50112/udp/239.81.0.118:4056
CCTV-11戏曲,http://171.104.106.89:50112/udp/239.81.0.229:4056
CCTV-12社会与法,http://171.104.106.89:50112/udp/239.81.0.119:4056
CCTV-13新闻,http://171.104.106.89:50112/udp/239.81.0.206:4056
CCTV-14少儿,http://171.104.106.89:50112/udp/239.81.0.120:4056
CCTV-15音乐,http://171.104.106.89:50112/udp/239.81.0.230:4056
CCTV-17农业农村,http://171.104.106.89:50112/udp/239.81.0.228:4056
CCTV-5+体育赛事,http://171.104.106.89:50112/udp/239.81.0.101:4056
北京卫视,http://171.104.106.89:50112/udp/239.81.0.109:4056
天津卫视,http://171.104.106.89:50112/udp/239.81.0.113:4056
东方卫视,http://171.104.106.89:50112/udp/239.81.0.111:4056
浙江卫视,http://171.104.106.89:50112/udp/239.81.0.108:4056
安徽卫视,http://171.104.106.89:50112/udp/239.81.0.211:4056
江苏卫视,http://171.104.106.89:50112/udp/239.81.0.106:4056
山东卫视,http://171.104.106.89:50112/udp/239.81.0.114:4056
广东卫视,http://171.104.106.89:50112/udp/239.81.0.104:4056
四川卫视,http://171.104.106.89:50112/udp/239.81.0.130:4056
深圳卫视,http://171.104.106.89:50112/udp/239.81.0.103:4056
湖南卫视,http://171.104.106.89:50112/udp/239.81.0.110:4056
湖北卫视,http://171.104.106.89:50112/udp/239.81.0.112:4056
河北卫视,http://171.104.106.89:50112/udp/239.81.0.94:4056
