新疆电信-组播1,#genre#
新疆卫视,http://202.107.163.213:5555/udp/238.125.3.174:5140
新疆卫视2,http://202.107.163.213:5555/udp/238.125.3.175:5140
新疆卫视3,http://202.107.163.213:5555/udp/238.125.3.176:5140
新疆卫视4,http://202.107.163.213:5555/udp/238.125.3.177:5140
新疆卫视5,http://202.107.163.213:5555/udp/238.125.3.178:5140
新疆卫视6,http://202.107.163.213:5555/udp/238.125.3.179:5140
新疆卫视7,http://202.107.163.213:5555/udp/238.125.3.180:5140
新疆卫视8,http://202.107.163.213:5555/udp/238.125.3.181:5140
新疆卫视9,http://202.107.163.213:5555/udp/238.125.3.182:5140
新疆卫视10,http://202.107.163.213:5555/udp/238.125.3.183:5140
新疆卫视11,http://202.107.163.213:5555/udp/238.125.3.184:5140
新疆卫视12,http://202.107.163.213:5555/udp/238.125.3.185:5140
CCTV-1综合,http://202.107.163.213:5555/udp/238.125.5.1:5140
CCTV-1综合,http://202.107.163.213:5555/udp/238.125.5.96:5140
CCTV-2财经,http://202.107.163.213:5555/udp/238.125.5.20:5140
CCTV-3综艺,http://202.107.163.213:5555/udp/238.125.5.21:5140
CCTV-4中文国际,http://202.107.163.213:5555/udp/238.125.1.67:5140
CCTV-5体育,http://202.107.163.213:5555/udp/238.125.5.22:5140
CCTV-5+体育赛事,http://202.107.163.213:5555/udp/238.125.5.29:5140
CCTV-6电影,http://202.107.163.213:5555/udp/238.125.5.23:5140
CCTV-7国防军事,http://202.107.163.213:5555/udp/238.125.5.24:5140
CCTV-8电视剧,http://202.107.163.213:5555/udp/238.125.5.25:5140
CCTV-9纪录,http://202.107.163.213:5555/udp/238.125.5.26:5140
CCTV-10科教,http://202.107.163.213:5555/udp/238.125.5.27:5140
CCTV-11戏曲,http://202.107.163.213:5555/udp/238.125.3.212:5140
CCTV-12社会与法,http://202.107.163.213:5555/udp/238.125.5.28:5140
CCTV-13新闻,http://202.107.163.213:5555/udp/238.125.5.31:5140
CCTV-14少儿,http://202.107.163.213:5555/udp/238.125.5.66:5140
CCTV-15音乐,http://202.107.163.213:5555/udp/238.125.4.84:5140
CCTV-16奥林匹克,http://202.107.163.213:5555/udp/238.125.5.34:5140
CCTV-17农业农村,http://202.107.163.213:5555/udp/238.125.5.74:5140
安徽卫视,http://202.107.163.213:5555/udp/238.125.5.9:5140
北京卫视,http://202.107.163.213:5555/udp/238.125.5.3:5140
东方卫视,http://202.107.163.213:5555/udp/238.125.5.5:5140
东南卫视,http://202.107.163.213:5555/udp/238.125.5.49:5140
陕西卫视,http://202.107.163.213:5555/udp/238.125.5.121:5140
广东卫视,http://202.107.163.213:5555/udp/238.125.5.12:5140
广西卫视,http://202.107.163.213:5555/udp/238.125.5.105:5140
贵州卫视,http://202.107.163.213:5555/udp/238.125.5.65:5140
海南卫视,http://202.107.163.213:5555/udp/238.125.5.68:5140
河北卫视,http://202.107.163.213:5555/udp/238.125.5.64:5140
河南卫视,http://202.107.163.213:5555/udp/238.125.3.171:5140
黑龙江卫视,http://202.107.163.213:5555/udp/238.125.5.8:5140
湖北卫视,http://202.107.163.213:5555/udp/238.125.5.10:5140
湖南卫视,http://202.107.163.213:5555/udp/238.125.5.4:5140
吉林卫视,http://202.107.163.213:5555/udp/238.125.3.103:5140
江苏卫视,http://202.107.163.213:5555/udp/238.125.5.6:5140
江西卫视,http://202.107.163.213:5555/udp/238.125.3.106:5140
辽宁卫视,http://202.107.163.213:5555/udp/238.125.5.15:5140
三沙卫视,http://202.107.163.213:5555/udp/238.125.5.114:5140
山东卫视,http://202.107.163.213:5555/udp/238.125.5.11:5140
深圳卫视,http://202.107.163.213:5555/udp/238.125.5.2:5140
四川卫视,http://202.107.163.213:5555/udp/238.125.5.62:5140
天津卫视,http://202.107.163.213:5555/udp/238.125.5.13:5140
云南卫视,http://202.107.163.213:5555/udp/238.125.5.32:5140
浙江卫视,http://202.107.163.213:5555/udp/238.125.5.7:5140
重庆卫视,http://202.107.163.213:5555/udp/238.125.5.14:5140
包头TV1,http://202.107.163.213:5555/udp/238.125.3.12:5140
包头TV2,http://202.107.163.213:5555/udp/238.125.3.13:5140
包头TV3,http://202.107.163.213:5555/udp/238.125.3.14:5140
乌鲁木齐1,http://202.107.163.213:5555/udp/238.125.3.238:5140
阿克苏1,http://202.107.163.213:5555/udp/238.125.3.84:5140
阿克苏2,http://202.107.163.213:5555/udp/238.125.3.86:5140
阿拉尔,http://202.107.163.213:5555/udp/238.125.3.54:5140
阿勒泰1,http://202.107.163.213:5555/udp/238.125.3.150:5140
克孜勒苏柯尔克孜1,http://202.107.163.213:5555/udp/238.125.4.240:5140
克孜勒苏柯尔克孜2,http://202.107.163.213:5555/udp/238.125.4.241:5140
克孜勒苏柯尔克孜3,http://202.107.163.213:5555/udp/238.125.4.242:5140
伊犁哈萨克1,http://202.107.163.213:5555/udp/238.125.4.147:5140
伊犁哈萨克2,http://202.107.163.213:5555/udp/238.125.4.148:5140
伊犁哈萨克3,http://202.107.163.213:5555/udp/238.125.4.149:5140
伊犁哈萨克4,http://202.107.163.213:5555/udp/238.125.4.150:5140
喀什1,http://202.107.163.213:5555/udp/238.125.3.214:5140
喀什2,http://202.107.163.213:5555/udp/238.125.3.215:5140
喀什3,http://202.107.163.213:5555/udp/238.125.3.216:5140
巴音郭楞1,http://202.107.163.213:5555/udp/238.125.3.38:5140
巴音郭楞2,http://202.107.163.213:5555/udp/238.125.3.39:5140
巴音郭楞3,http://202.107.163.213:5555/udp/238.125.3.40:5140
巴音郭楞4,http://202.107.163.213:5555/udp/238.125.3.43:5140
昌吉市电视台,http://202.107.163.213:5555/udp/238.125.3.27:5140
霍城1,http://202.107.163.213:5555/udp/238.125.3.7:5140
呼图壁1,http://202.107.163.213:5555/udp/238.125.3.91:5140
玛纳斯1,http://202.107.163.213:5555/udp/238.125.3.114:5140
竹山1,http://202.107.163.213:5555/udp/238.125.3.225:5140
竹山2,http://202.107.163.213:5555/udp/238.125.3.226:5140
奎屯1,http://202.107.163.213:5555/udp/238.125.3.248:5140
奎屯3,http://202.107.163.213:5555/udp/238.125.3.250:5140
综合,http://202.107.163.213:5555/udp/238.125.3.165:5140
哈密TV1,http://202.107.163.213:5555/udp/238.125.4.194:5140
哈密TV1,http://202.107.163.213:5555/udp/238.125.4.195:5140
哈密TV3,http://202.107.163.213:5555/udp/238.125.0.195:5140
金鹰纪实,http://202.107.163.213:5555/udp/238.125.5.71:5140
金鹰卡通,http://202.107.163.213:5555/udp/238.125.5.104:5140
快乐垂钓,http://202.107.163.213:5555/udp/238.125.5.103:5140
茶频道,http://202.107.163.213:5555/udp/238.125.5.101:5140
上海欢笑剧场,http://202.107.163.213:5555/udp/238.125.5.61:5140
上海动漫秀场,http://202.107.163.213:5555/udp/238.125.5.33:5140
上海都市剧场,http://202.107.163.213:5555/udp/238.125.5.60:5140
上海法治天地,http://202.107.163.213:5555/udp/238.125.5.116:5140
上海游戏风云,http://202.107.163.213:5555/udp/238.125.5.36:5140
上海生活时尚,http://202.107.163.213:5555/udp/238.125.5.113:5140
上海金色学堂,http://202.107.163.213:5555/udp/238.125.5.115:5140
上海东方财经,http://202.107.163.213:5555/udp/238.125.4.54:5140
上海哈哈炫动,http://202.107.163.213:5555/udp/238.125.5.106:5140
北京卡酷少儿,http://202.107.163.213:5555/udp/238.125.5.107:5140
北京纪实科教,http://202.107.163.213:5555/udp/238.125.5.70:5140
河南文物宝库,http://202.107.163.213:5555/udp/238.125.4.106:5140
河南武术世界,http://202.107.163.213:5555/udp/238.125.4.104:5140
河南梨园频道,http://202.107.163.213:5555/udp/238.125.4.103:5140
CETV1,http://202.107.163.213:5555/udp/238.125.5.51:5140
CETV4,http://202.107.163.213:5555/udp/238.125.4.98:5140
CGTN英语,http://202.107.163.213:5555/udp/238.125.5.69:5140
CGTN纪录,http://202.107.163.213:5555/udp/238.125.3.119:5140
求索纪录,http://202.107.163.213:5555/udp/238.125.5.108:5140
人物频道,http://202.107.163.213:5555/udp/238.125.5.109:5140
精彩影视,http://202.107.163.213:5555/udp/238.125.5.110:5140
党员远程教育,http://202.107.163.213:5555/udp/238.125.4.144:5140
SSTV2,http://202.107.163.213:5555/udp/238.125.3.240:5140
