海南电信-组播1,#genre#
海南卫视,http://223.198.243.6:4000/rtp/239.253.64.253:5140
海南公共频道,http://223.198.243.6:4000/rtp/239.253.64.14:5140
海南少儿频道,http://223.198.243.6:4000/rtp/239.253.64.124:5140
海南文旅频道,http://223.198.243.6:4000/rtp/239.253.64.122:5140
海南新闻频道,http://223.198.243.6:4000/rtp/239.253.64.121:5140
海南自贸频道,http://223.198.243.6:4000/rtp/239.253.64.119:5140
海南三沙卫视,http://223.198.243.6:4000/rtp/239.253.64.112:5140
CCTV-1综合,http://223.198.243.6:4000/rtp/239.253.64.120:5140
CCTV-2财经,http://223.198.243.6:4000/rtp/239.253.64.195:5140
CCTV-3综艺,http://223.198.243.6:4000/rtp/239.253.64.244:5140
CCTV-4中文国际,http://223.198.243.6:4000/rtp/239.253.64.196:5140
CCTV-5体育,http://223.198.243.6:4000/rtp/239.253.64.245:5140
CCTV-5+体育赛事,http://223.198.243.6:4000/rtp/239.253.64.100:5140
CCTV-6电影,http://223.198.243.6:4000/rtp/239.253.64.246:5140
CCTV-7国防科技,http://223.198.243.6:4000/rtp/239.253.64.54:5140
CCTV-8电视剧,http://223.198.243.6:4000/rtp/239.253.64.247:5140
CCTV-9纪录,http://223.198.243.6:4000/rtp/239.253.64.76:5140
CCTV-10科教,http://223.198.243.6:4000/rtp/239.253.64.87:5140
CCTV-11戏曲,http://223.198.243.6:4000/rtp/239.253.64.70:5140
CCTV-12社会与法,http://223.198.243.6:4000/rtp/239.253.64.97:5140
CCTV-13新闻,http://223.198.243.6:4000/rtp/239.253.64.59:5140
CCTV-14少儿,http://223.198.243.6:4000/rtp/239.253.64.115:5140
CCTV-15音乐,http://223.198.243.6:4000/rtp/239.253.64.72:5140
CCTV-16奥林匹克,http://223.198.243.6:4000/rtp/239.253.64.251:5140
CCTV-16奥林匹克4K,http://223.198.243.6:4000/rtp/239.253.64.126:5140
CCTV-17农业农村,http://223.198.243.6:4000/rtp/239.253.64.67:5140
北京卫视,http://223.198.243.6:4000/rtp/239.253.64.204:5140
东方卫视,http://223.198.243.6:4000/rtp/239.253.64.201:5140
东南卫视,http://223.198.243.6:4000/rtp/239.253.64.66:5140
江苏卫视,http://223.198.243.6:4000/rtp/239.253.64.202:5140
广东卫视,http://223.198.243.6:4000/rtp/239.253.64.200:5140
河北卫视,http://223.198.243.6:4000/rtp/239.253.64.210:5140
贵州卫视,http://223.198.243.6:4000/rtp/239.253.64.197:5140
湖北卫视,http://223.198.243.6:4000/rtp/239.253.64.207:5140
湖南卫视,http://223.198.243.6:4000/rtp/239.253.64.114:5140
山东卫视,http://223.198.243.6:4000/rtp/239.253.64.208:5140
深圳卫视,http://223.198.243.6:4000/rtp/239.253.64.203:5140
天津卫视,http://223.198.243.6:4000/rtp/239.253.64.198:5140
浙江卫视,http://223.198.243.6:4000/rtp/239.253.64.206:5140
重庆卫视,http://223.198.243.6:4000/rtp/239.253.64.55:5140
吉林卫视,http://223.198.243.6:4000/rtp/239.253.64.57:5140
安徽卫视,http://223.198.243.6:4000/rtp/239.253.64.129:5140
黑龙江卫视,http://223.198.243.6:4000/rtp/239.253.64.205:5140
江西卫视,http://223.198.243.6:4000/rtp/239.253.64.56:5140
辽宁卫视,http://223.198.243.6:4000/rtp/239.253.64.150:5140
甘肃卫视,http://223.198.243.6:4000/rtp/239.253.64.140:5140
广西卫视,http://223.198.243.6:4000/rtp/239.253.64.45:5140
河南卫视,http://223.198.243.6:4000/rtp/239.253.64.38:5140
四川卫视,http://223.198.243.6:4000/rtp/239.253.64.36:5140
山西卫视,http://223.198.243.6:4000/rtp/239.253.64.31:5140
陕西卫视,http://223.198.243.6:4000/rtp/239.253.64.37:5140
内蒙古卫视,http://223.198.243.6:4000/rtp/239.253.64.144:5140
宁夏卫视,http://223.198.243.6:4000/rtp/239.253.64.89:5140
青海卫视,http://223.198.243.6:4000/rtp/239.253.64.46:5140
厦门卫视,http://223.198.243.6:4000/rtp/239.253.64.179:5140
西藏卫视,http://223.198.243.6:4000/rtp/239.253.64.143:5140
新疆卫视,http://223.198.243.6:4000/rtp/239.253.64.146:5140
云南卫视,http://223.198.243.6:4000/rtp/239.253.64.147:5140
兵团卫视,http://223.198.243.6:4000/rtp/239.253.64.178:5140
山东教育卫视,http://223.198.243.6:4000/rtp/239.253.64.241:5140
金鹰纪实,http://223.198.243.6:4000/rtp/239.253.64.168:5140
上海纪实,http://223.198.243.6:4000/rtp/239.253.64.149:5140
爱上4K,http://223.198.243.6:4000/rtp/239.253.64.243:5140
CETV1,http://223.198.243.6:4000/rtp/239.253.64.169:5140
CETV2,http://223.198.243.6:4000/rtp/239.253.64.128:5140
CETV4,http://223.198.243.6:4000/rtp/239.253.64.139:5140
CGTN英语,http://223.198.243.6:4000/rtp/239.253.64.17:5140
CGTN记录,http://223.198.243.6:4000/rtp/239.253.64.58:5140
中国天气,http://223.198.243.6:4000/rtp/239.253.64.79:5140
金鹰卡通,http://223.198.243.6:4000/rtp/239.253.64.148:5140
卡酷少儿,http://223.198.243.6:4000/rtp/239.253.64.230:5140
嘉佳卡通,http://223.198.243.6:4000/rtp/239.253.64.127:5140
海口1台,http://223.198.243.6:4000/rtp/239.253.64.80:5140
海口2台,http://223.198.243.6:4000/rtp/239.253.64.82:5140
海口3台,http://223.198.243.6:4000/rtp/239.253.64.83:5140
白沙TV,http://223.198.243.6:4000/rtp/239.253.64.118:5140
保亭TV,http://223.198.243.6:4000/rtp/239.253.64.159:5140
澄迈TV,http://223.198.243.6:4000/rtp/239.253.64.109:5140
儋州TV,http://223.198.243.6:4000/rtp/239.253.64.107:5140
定安TV,http://223.198.243.6:4000/rtp/239.253.64.110:5140
东方TV,http://223.198.243.6:4000/rtp/239.253.64.111:5140
临高,http://223.198.243.6:4000/rtp/239.253.64.155:5140
陵水TV,http://223.198.243.6:4000/rtp/239.253.64.116:5140
琼海TV,http://223.198.243.6:4000/rtp/239.253.64.106:5140
琼中TV,http://223.198.243.6:4000/rtp/239.253.64.165:5140
三亚1台,http://223.198.243.6:4000/rtp/239.253.64.9:5140
乐东TV,http://223.198.243.6:4000/rtp/239.253.64.166:5140
屯昌TV,http://223.198.243.6:4000/rtp/239.253.64.117:5140
昌江TV,http://223.198.243.6:4000/rtp/239.253.64.108:5140
万宁综合,http://223.198.243.6:4000/rtp/239.253.64.167:5140
文昌TV,http://223.198.243.6:4000/rtp/239.253.64.105:5140
五指山TV,http://223.198.243.6:4000/rtp/239.253.64.69:5140
华数谍战剧场,http://223.198.243.6:4000/rtp/239.253.64.212:5140
华数经典电影,http://223.198.243.6:4000/rtp/239.253.64.227:5140
华数魅力时尚,http://223.198.243.6:4000/rtp/239.253.64.231:5140
华数热播剧场,http://223.198.243.6:4000/rtp/239.253.64.211:5140
华数影视,http://223.198.243.6:4000/rtp/239.253.64.49:5140
华数喜剧影院,http://223.198.243.6:4000/rtp/239.253.64.233:5140
华数武侠剧场,http://223.198.243.6:4000/rtp/239.253.64.254:5140
华数少儿动画,http://223.198.243.6:4000/rtp/239.253.64.232:5140
华数军旅剧场,http://223.198.243.6:4000/rtp/239.253.64.228:5140
华数精选,http://223.198.243.6:4000/rtp/239.253.64.224:5140
华数家庭影院,http://223.198.243.6:4000/rtp/239.253.64.225:5140
华数古装剧场,http://223.198.243.6:4000/rtp/239.253.64.221:5140
华数动作影院,http://223.198.243.6:4000/rtp/239.253.64.220:5140
华数少儿动画,http://223.198.243.6:4000/rtp/239.253.64.163:5140
华数城市剧场,http://223.198.243.6:4000/rtp/239.253.64.218:5140
IPTV法治,http://223.198.243.6:4000/rtp/239.253.64.213:5140
IPTV地理,http://223.198.243.6:4000/rtp/239.253.64.219:5140
IPTV相声小品,http://223.198.243.6:4000/rtp/239.253.64.214:5140
IPTV野外,http://223.198.243.6:4000/rtp/239.253.64.215:5140
IPTV足球,http://223.198.243.6:4000/rtp/239.253.64.237:5140
IPTV早教,http://223.198.243.6:4000/rtp/239.253.64.236:5140
IPTV音乐现场,http://223.198.243.6:4000/rtp/239.253.64.235:5140
IPTV戏曲,http://223.198.243.6:4000/rtp/239.253.64.234:5140
IPTV武术,http://223.198.243.6:4000/rtp/239.253.64.170:5140
IPTV台球,http://223.198.243.6:4000/rtp/239.253.64.164:5140
IPTV收视指南,http://223.198.243.6:4000/rtp/239.253.64.238:5140
IPTV墨宝,http://223.198.243.6:4000/rtp/239.253.64.158:5140
IPTV美人,http://223.198.243.6:4000/rtp/239.253.64.123:5140
IPTV军事,http://223.198.243.6:4000/rtp/239.253.64.229:5140
IPTV解密,http://223.198.243.6:4000/rtp/239.253.64.141:5140
IPTV好学生,http://223.198.243.6:4000/rtp/239.253.64.223:5140
IPTV国学,http://223.198.243.6:4000/rtp/239.253.64.222:5140
IPTV爱生活,http://223.198.243.6:4000/rtp/239.253.64.216:5140
IPTV3+,http://223.198.243.6:4000/rtp/239.253.64.10:5140
IPTV5+,http://223.198.243.6:4000/rtp/239.253.64.125:5140
IPTV5+,http://223.198.243.6:4000/rtp/239.253.64.26:5140
IPTV8+,http://223.198.243.6:4000/rtp/239.253.64.160:5140
