湖北电信-组播1,#genre#
CCTV4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.111:10304
CCTV164K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.12:9712
CCTV164K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.249:11136
北京卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.22:11286$湖北电信
东方卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.37:11376
广东卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.27:11316
深圳卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.28:11322
湖南卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.13:9718
湖南卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.27:9802
湖南卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.34:11358
山东卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.26:9796
山东卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.38:11382
四川卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.39:11388
四川卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.28:9808$湖北电信
浙江卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.35:11364
浙江卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.25:9790
江苏卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.24:9784
江苏卫视4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.36:11370
欢笑剧场4K,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.5:11184
CCTV1,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.96:8550
CCTV2,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.102:10250
CCTV3,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.122:10370$湖北电信
CCTV4,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.138:10466
CCTV4欧洲,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.231:11028
CCTV4美洲,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.232:11034
CCTV5,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.123:10376
CCTV5+,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.234:9484
CCTV6,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.124:10382
CCTV7,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.103:10256
